Titulo,Autor,Editorial,Anio
El gran Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,1925
El nombre de la rosa,Umberto Eco,Bompiani,1980
El guardián entre el centeno,J.D. Salinger,Little Brown and Company,1951
La Odisea,Homero,Desconocida,800
El código Da Vinci,Dan Brown,Doubleday,2003
El viejo y el mar,Ernest Hemingway,Charles Scribner's Sons,1952
Cumbres borrascosas,Emily Brontë,Thomas Cautley Newby,1847
El alquimista,Paulo Coelho,HarperTorch,1988
1984,George Orwell,Secker & Warburg,1949
La metamorfosis,Franz Kafka,Kurt Wolff Verlag,1915
La sombra del viento,Carlos Ruiz Zafón,Planeta,2001
El principito,Antoine de Saint-Exupéry,Reynal & Hitchcock,1943
Cien años de soledad,Gabriel García Márquez,Sudamericana,1967
El extranjero,Albert Camus,Gallimard,1942
Orgullo y prejuicio,Jane Austen,T. Egerton,1813
La divina comedia,Dante Alighieri,Desconocida,1320
Las aventuras de Sherlock Holmes,Arthur Conan Doyle,George Newnes,1892
El conde de Montecristo,Alexandre Dumas,Pétion,1844
Drácula,Bram Stoker,Archibald Constable and Company,1897
Matar a un ruiseñor,Harper Lee,J.B. Lippincott & Co.,1960
Rayuela,Julio Cortázar,Sudamericana,1963
Frankenstein,Mary Shelley,Lackington & Hughes & Harding & Mavor & Jones,1818
El retrato de Dorian Gray,Oscar Wilde,Ward Lock & Co.,1890
Ulises,James Joyce,Shakespeare and Company,1922
La casa de los espíritus,Isabel Allende,Plaza & Janés,1982
En busca del tiempo perdido,Marcel Proust,Grasset,1913
El señor de los anillos,J.R.R. Tolkien,Allen & Unwin,1954
Fahrenheit 451,Ray Bradbury,Ballantine Books,1953
Los miserables,Victor Hugo,A. Lacroix Verboeckhoven & Cie,1862
Don Quijote de la Mancha,Miguel de Cervantes,Francisco de Robles,1605
El amor en los tiempos del cólera,Gabriel García Márquez,Oveja Negra,1985
Crimen y castigo,Fiódor Dostoyevski,The Russian Messenger,1866
Moby-Dick,Herman Melville,Harper & Brothers,1851
Madame Bovary,Gustave Flaubert,Revue de Paris,1856
La isla del tesoro,Robert Louis Stevenson,Cassell & Co.,1883
Jane Eyre,Charlotte Bronte,Smith Elder & Co.,1847
El diario de Ana Frank,Ana Frank,Contact Publishing,1947
Siddharta,Hermann Hesse,S. Fischer Verlag,1922
El hombre en busca de sentido,Viktor Frankl,Beacon Press,1946
Mil soles espléndidos,Khaled Hosseini,Riverhead Books,2007
